City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Shimoda,JP,34.67,138.95,54.39,58,85,7.87,overcast clouds
83,Qaanaaq,GL,77.48,-69.36,-8.1,75,99,10.07,overcast clouds
84,Talnakh,RU,69.49,88.4,10.4,92,90,22.37,light snow
85,Dikson,RU,73.51,80.55,32.07,99,99,27.65,overcast clouds
86,Mar Del Plata,AR,-38.0,-57.56,63.0,54,20,11.41,few clouds
87,Kamenka,RU,51.32,42.77,32.0,77,70,3.0,broken clouds
88,Sulphur,US,30.24,-93.38,45.0,75,1,11.41,clear sky
89,Port Alfred,ZA,-33.59,26.89,71.94,63,0,27.29,clear sky
90,Lushnje,AL,40.94,19.7,59.0,51,0,10.29,clear sky
91,Cherskiy,RU,68.75,161.3,-10.23,91,100,2.24,overcast clouds
92,Stornoway,GB,58.21,-6.39,45.0,81,40,13.87,scattered clouds
93,Hofn,IS,64.25,-15.21,32.0,83,75,8.05,broken clouds
94,Hurghada,EG,27.26,33.81,77.0,29,0,5.82,clear sky
95,Sangar,RU,63.92,127.47,-22.45,87,100,4.23,overcast clouds
96,Noumea,NC,-22.28,166.46,68.0,77,0,4.7,clear sky
97,Thompson,CA,55.74,-97.86,8.6,92,5,5.82,clear sky
98,Tasiilaq,GL,65.61,-37.64,19.4,48,100,10.29,overcast clouds
99,Saldanha,ZA,-33.01,17.94,66.2,68,0,11.41,clear sky
100,Cozumel,MX,20.51,-86.95,73.4,94,75,4.99,light rain
101,Nouadhibou,MR,20.93,-17.03,69.8,77,0,9.17,clear sky
102,Brebes,ID,-6.87,109.04,80.71,74,49,12.17,scattered clouds
103,U Thong,TH,14.38,99.89,74.98,73,28,6.58,scattered clouds
104,Castro,BR,-24.79,-50.01,76.3,70,52,5.19,light rain
105,Tiksi,RU,71.69,128.87,3.63,88,89,42.05,overcast clouds
106,Avarua,CK,-21.21,-159.78,78.8,94,33,10.29,scattered clouds
107,Kawalu,ID,-7.38,108.21,73.38,91,81,2.19,light rain
108,Cape Town,ZA,-33.93,18.42,71.01,43,20,9.17,few clouds
109,Arenillas,ES,41.35,-2.85,46.99,83,100,3.47,overcast clouds
110,Te Anau,NZ,-45.42,167.72,37.71,85,18,3.04,few clouds
111,Goure,NE,13.98,10.27,91.0,10,2,8.01,clear sky
112,Dubuque,US,42.48,-90.87,28.4,58,90,16.11,light snow
113,Roma,US,43.21,-75.46,39.0,69,20,5.82,few clouds
114,Bambanglipuro,ID,-7.95,110.28,78.67,79,70,5.88,light rain
115,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,69,0,11.41,clear sky
116,Sobolevo,RU,54.43,31.9,30.27,96,24,8.55,few clouds
117,Takoradi,GH,4.88,-1.76,83.75,69,93,5.46,overcast clouds
118,Aklavik,CA,68.22,-135.01,-0.4,77,99,4.7,overcast clouds
119,Avera,US,33.19,-82.53,60.8,100,75,16.11,broken clouds
120,Bagdarin,RU,54.43,113.6,-3.12,85,0,3.33,clear sky
121,Mahebourg,MU,-20.41,57.7,82.4,69,40,14.99,shower rain
122,Saskylakh,RU,71.92,114.08,16.54,94,100,20.74,overcast clouds
123,Vryheid,ZA,-27.77,30.79,79.34,42,33,7.43,scattered clouds
124,Mangrol,IN,21.12,70.12,81.61,62,0,11.65,clear sky
125,Hoquiam,US,46.98,-123.89,51.01,81,90,19.46,overcast clouds
126,Bluff,NZ,-46.6,168.33,50.0,69,40,1.99,scattered clouds
127,Kieta,PG,-6.22,155.63,79.48,72,97,2.33,overcast clouds
128,Kapaa,US,22.08,-159.32,75.2,73,40,18.34,light rain
129,California City,US,35.13,-117.99,42.01,51,1,1.57,clear sky
130,Abyek,IR,36.07,50.55,46.4,81,40,4.7,mist
131,Marsh Harbour,BS,26.54,-77.06,76.28,80,1,14.07,clear sky
132,Vaitape,PF,-16.52,-151.75,81.39,71,94,4.74,overcast clouds
133,Rio Tercero,AR,-32.17,-64.11,62.01,74,6,1.99,clear sky
134,Carnarvon,AU,-24.87,113.63,71.6,60,0,28.86,clear sky
135,Mecca,SA,21.43,39.83,82.11,38,44,7.99,scattered clouds
136,Gat,IL,31.61,34.76,70.0,52,0,3.0,clear sky
137,Gigmoto,PH,13.78,124.39,79.54,82,90,21.83,overcast clouds
138,Barrow,US,71.29,-156.79,8.6,84,90,5.82,overcast clouds
139,Yarmouth,US,41.71,-70.23,50.0,93,1,4.7,clear sky
140,Victoria,HK,22.29,114.16,69.01,63,33,1.01,scattered clouds
141,Riberalta,BO,-10.98,-66.1,75.2,94,40,1.92,scattered clouds
142,Hermanus,ZA,-34.42,19.23,70.0,50,52,5.01,broken clouds
143,Henties Bay,NA,-22.12,14.28,63.0,82,37,14.2,scattered clouds
144,Vestmannaeyjar,IS,63.44,-20.27,30.2,80,20,4.7,few clouds
145,East London,ZA,-33.02,27.91,78.8,54,0,13.87,clear sky
146,Sassandra,CI,4.95,-6.08,82.54,78,50,5.68,light rain
147,Ribeira Grande,PT,38.52,-28.7,60.8,72,75,16.11,shower rain
148,Vila Franca Do Campo,PT,37.72,-25.43,59.0,72,20,23.04,shower rain
149,Virginia Beach,US,36.85,-75.98,66.2,88,90,17.22,moderate rain
150,Ambon,ID,-3.7,128.18,78.8,83,20,9.17,few clouds
151,Koraput,IN,18.82,82.72,66.52,66,0,4.16,clear sky
152,Katsuura,JP,35.13,140.3,55.4,76,75,13.87,broken clouds
153,Gobabis,NA,-22.45,18.97,95.0,13,0,3.36,clear sky
154,Mount Isa,AU,-20.73,139.5,95.0,23,5,6.93,clear sky
155,Arraial Do Cabo,BR,-22.97,-42.03,80.6,69,0,17.22,clear sky
156,Half Moon Bay,US,37.46,-122.43,44.6,87,75,5.82,broken clouds
157,Torbay,CA,47.67,-52.73,36.0,69,20,26.4,few clouds
158,Stykkisholmur,IS,65.08,-22.73,28.81,92,97,5.86,overcast clouds
159,Hasaki,JP,35.73,140.83,48.2,87,75,2.24,broken clouds
160,Pringsewu,ID,-5.36,104.97,75.67,86,90,3.6,overcast clouds
161,Marienburg,PL,54.04,19.03,37.99,100,67,7.94,broken clouds
162,San Jose,US,37.34,-121.89,48.0,80,1,3.36,clear sky
163,Jacareacanga,BR,-6.22,-57.75,77.9,88,100,2.33,light rain
164,Odienne,CI,9.51,-7.57,94.32,35,13,5.41,few clouds
165,Mapiri,BO,-15.25,-68.17,73.18,79,43,0.74,light rain
166,Challapata,BO,-18.9,-66.77,55.45,43,63,3.49,broken clouds
167,Longyearbyen,SJ,78.22,15.64,15.8,66,75,5.82,broken clouds
168,Lebu,CL,-37.62,-73.65,53.87,64,0,21.14,clear sky
169,Clyde River,CA,70.47,-68.59,-13.0,75,1,3.36,clear sky
170,Guerrero Negro,MX,27.98,-114.06,54.07,68,5,3.58,clear sky
171,Suntar,RU,62.14,117.63,2.95,93,100,6.8,overcast clouds
172,Colares,PT,38.8,-9.45,64.0,82,20,13.87,few clouds
173,Gamba,GA,-2.65,10.0,82.29,79,86,9.04,light rain
174,Jumla,NP,29.27,82.18,45.14,56,0,0.96,clear sky
175,Batagay-Alyta,RU,67.8,130.41,2.35,85,100,6.38,overcast clouds
176,Nadvoitsy,RU,63.87,34.32,35.17,97,99,10.42,overcast clouds
177,Pestretsy,RU,55.75,49.65,23.0,79,0,11.18,clear sky
178,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,80.96,66,9,8.9,clear sky
179,Airai,TL,-8.93,125.41,63.93,100,99,0.56,light rain
180,Atuona,PF,-9.8,-139.03,78.42,78,5,19.66,clear sky
181,Haapiti,PF,-17.57,-149.87,77.0,78,75,2.24,light rain
182,Warora,IN,20.23,79.0,77.52,50,0,5.32,clear sky
183,San Patricio,US,28.02,-97.52,46.99,87,40,5.82,scattered clouds
184,Hobyo,SO,5.35,48.53,82.06,66,27,16.96,scattered clouds
185,Faanui,PF,-16.48,-151.75,80.28,73,100,4.45,overcast clouds
186,Madimba,TZ,-10.4,40.33,86.85,62,6,10.96,clear sky
187,Tuy Hoa,VN,13.08,109.3,76.41,88,100,16.4,light rain
188,Ilulissat,GL,69.22,-51.1,24.8,62,75,11.41,broken clouds
189,Entre Rios,BR,-11.94,-38.08,83.34,56,14,4.74,few clouds
190,Bonavista,CA,48.65,-53.11,35.01,74,0,6.93,clear sky
191,Alekseyevsk,RU,57.84,108.35,10.29,94,100,8.9,light snow
192,Mahajanga,MG,-15.72,46.32,89.6,66,20,16.11,few clouds
193,Rassvet,RU,46.83,40.75,43.9,69,55,21.97,broken clouds
194,Wuchi,CN,29.38,103.02,34.09,97,100,3.11,overcast clouds
195,Hamilton,US,39.18,-84.53,37.4,86,90,9.17,moderate rain
196,Weligama,LK,5.97,80.42,79.65,85,87,7.25,moderate rain
197,Saint-Augustin,CA,51.23,-58.65,22.12,90,0,10.92,clear sky
198,Lagoa,PT,39.05,-27.98,61.3,76,42,27.83,light rain
199,Butaritari,KI,3.07,172.79,82.72,77,99,17.47,overcast clouds
200,Cabo San Lucas,MX,22.89,-109.91,60.01,83,82,1.99,broken clouds
201,Batagay,RU,67.63,134.63,-19.71,81,62,4.88,broken clouds
202,Yanam,IN,16.73,82.22,84.2,48,5,10.29,haze
203,Linqiong,CN,30.42,103.46,51.01,100,75,2.24,mist
204,Abu Samrah,SY,35.3,37.18,65.8,41,4,7.02,clear sky
205,Wasilla,US,61.58,-149.44,18.0,92,1,1.88,clear sky
206,Bowen,AU,-20.02,148.23,71.6,73,1,3.36,clear sky
207,Norman Wells,CA,65.28,-126.83,-5.8,83,75,2.24,broken clouds
208,Aykhal,RU,66.0,111.5,1.4,91,90,2.24,light snow
209,Bambous Virieux,MU,-20.34,57.76,82.4,69,40,14.99,shower rain
210,Buala,SB,-8.14,159.59,81.1,77,85,4.61,overcast clouds
211,Kamaishi,JP,39.27,141.88,39.9,76,7,6.26,clear sky
212,Lagos,NG,6.58,3.75,87.8,74,75,10.29,broken clouds
213,Upington,ZA,-28.45,21.26,91.4,11,20,5.82,few clouds
214,Hualmay,PE,-11.1,-77.61,65.66,85,99,5.14,overcast clouds
215,Praia,CV,14.92,-23.51,77.0,53,75,12.75,broken clouds
216,Kununurra,AU,-15.77,128.73,82.4,74,92,5.82,light rain
217,Belmonte,BR,-15.86,-38.88,73.4,88,90,3.36,overcast clouds
218,Kenai,US,60.55,-151.26,28.0,79,90,7.9,overcast clouds
219,Bereda,ES,43.27,-7.54,55.0,96,36,4.0,scattered clouds
220,Barcelona,ES,41.39,2.16,61.0,72,20,5.82,few clouds
221,Sao Miguel Do Araguaia,BR,-13.28,-50.16,84.45,47,96,10.65,overcast clouds
222,Bathsheba,BB,13.22,-59.52,78.8,88,20,13.87,few clouds
223,Kavieng,PG,-2.57,150.8,79.52,74,100,5.35,overcast clouds
224,San Rafael,AR,-34.62,-68.33,66.92,28,0,5.1,clear sky
225,Jinxiang,CN,27.43,120.61,58.24,67,100,19.24,overcast clouds
226,Luderitz,NA,-26.65,15.16,71.6,49,0,31.09,clear sky
227,Merida,MX,20.97,-89.62,73.99,94,40,3.36,scattered clouds
228,Ulety,RU,51.36,112.48,9.97,90,94,8.1,overcast clouds
229,Calbuco,CL,-41.77,-73.13,50.0,87,20,4.7,few clouds
230,Horodnytsya,UA,50.81,27.32,33.57,88,26,5.37,scattered clouds
231,Benguela,AO,-12.58,13.41,84.2,66,40,9.17,scattered clouds
232,Nago,JP,26.59,127.98,68.0,68,90,18.34,overcast clouds
233,Luganville,VU,-15.53,167.17,78.55,83,100,11.23,heavy intensity rain
234,Shubarkuduk,KZ,49.14,56.49,15.39,95,0,12.48,clear sky
235,Zhangjiakou,CN,40.81,114.88,16.57,77,23,3.15,few clouds
236,Verkhnevilyuysk,RU,63.45,120.32,-1.8,91,100,6.06,overcast clouds
237,Mkushi,ZM,-13.62,29.39,89.24,29,70,1.28,broken clouds
238,Nanortalik,GL,60.14,-45.24,31.14,94,100,14.32,light snow
239,Itarema,BR,-2.92,-39.92,85.95,59,41,16.87,scattered clouds
240,Sakhnovshchyna,UA,49.15,35.87,40.95,77,100,12.01,overcast clouds
241,Nevyansk,RU,57.5,60.21,14.99,93,0,2.51,clear sky
242,Asosa,ET,10.07,34.53,83.1,24,0,6.17,clear sky
243,Amarpatan,IN,24.32,80.98,69.75,32,0,3.42,clear sky
244,Oktyabrskiy,RU,54.48,53.47,18.0,96,0,3.51,clear sky
245,Ahuimanu,US,21.44,-157.84,73.4,73,75,5.82,light rain
246,Bilma,NE,18.69,12.92,87.39,13,0,9.37,clear sky
247,Orange Cove,US,36.62,-119.31,37.4,47,1,1.3,clear sky
248,Kahului,US,20.89,-156.47,71.6,68,1,10.29,clear sky
249,Forestville,US,38.85,-76.88,55.99,100,90,18.34,heavy intensity rain
250,Ipixuna,BR,-1.76,-48.8,80.6,83,0,6.93,light rain
251,Gallup,US,35.53,-108.74,14.0,78,1,0.74,clear sky
252,Santa Marta,CO,11.24,-74.2,80.01,84,78,3.0,broken clouds
253,Alofi,NU,-19.06,-169.92,73.4,94,75,8.14,broken clouds
254,Lorengau,PG,-2.02,147.27,77.58,86,100,6.4,light rain
255,Linhares,BR,-19.39,-40.07,80.85,65,12,4.05,few clouds
256,Ambilobe,MG,-13.2,49.05,88.07,53,39,10.58,scattered clouds
257,Benghazi,LY,32.12,20.07,68.16,66,7,21.5,light rain
258,Tuatapere,NZ,-46.13,167.68,50.0,69,76,1.99,broken clouds
259,Mount Gambier,AU,-37.83,140.77,62.6,77,98,3.36,overcast clouds
260,Khatanga,RU,71.97,102.5,16.52,96,100,18.21,overcast clouds
261,Port Hawkesbury,CA,45.62,-61.35,30.99,92,5,2.24,clear sky
262,Lukuledi,TZ,-10.57,38.8,95.56,32,42,4.43,scattered clouds
263,Superior,US,46.72,-92.1,21.2,73,90,6.93,overcast clouds
264,Arman,RU,59.7,150.17,13.98,92,98,9.13,overcast clouds
265,Hami,CN,42.8,93.45,26.24,86,83,5.66,broken clouds
266,Porto Novo,BJ,6.5,2.6,87.8,74,40,10.29,scattered clouds
267,Luwuk,ID,-0.95,122.79,78.91,79,98,1.9,light rain
268,Grand Gaube,MU,-20.01,57.66,82.0,72,1,11.99,clear sky
269,Shumskiy,RU,54.83,99.13,18.36,89,80,3.71,broken clouds
270,Harer,ET,9.31,42.13,75.4,32,0,8.9,clear sky
271,Huarmey,PE,-10.07,-78.15,65.55,85,99,4.05,overcast clouds
272,Kayerkan,RU,69.35,87.76,10.4,92,90,22.37,light snow
273,Tazovskiy,RU,67.47,78.7,13.55,96,95,12.41,overcast clouds
274,Grindavik,IS,63.84,-22.43,30.2,80,75,5.82,broken clouds
275,Zyryanka,RU,65.75,150.85,-16.37,87,12,7.09,few clouds
276,Skoghall,SE,59.32,13.47,37.4,100,75,9.17,broken clouds
277,Toktogul,KG,41.87,72.94,29.71,74,61,1.45,broken clouds
278,Xinyu,CN,27.8,114.93,50.92,74,92,5.55,overcast clouds
279,Hokitika,NZ,-42.72,170.97,48.72,85,80,5.1,broken clouds
280,Amga,RU,60.9,131.96,-17.41,87,99,0.67,overcast clouds
281,Saratoga Springs,US,43.08,-73.78,33.01,90,100,0.85,overcast clouds
282,Rocha,UY,-34.48,-54.33,64.26,57,1,13.71,clear sky
283,Bethel,US,41.37,-73.41,43.0,80,20,7.4,few clouds
284,Morada Nova,BR,-5.11,-38.37,87.82,42,46,8.72,scattered clouds
285,Ancud,CL,-41.87,-73.82,48.99,93,90,2.24,overcast clouds
286,Kruisfontein,ZA,-34.0,24.73,73.99,53,0,14.0,clear sky
287,Birin,NP,26.89,88.07,51.19,81,0,3.4,clear sky
288,Bonthe,SL,7.53,-12.51,86.07,66,75,4.65,broken clouds
289,Banyo,CM,6.75,11.82,89.78,20,38,6.62,scattered clouds
290,Zhanaozen,KZ,43.3,52.8,35.22,72,100,21.21,overcast clouds
291,Soyo,AO,-6.13,12.37,77.0,94,75,3.36,light rain
292,Maloy,NO,61.94,5.11,42.8,93,75,11.41,light rain
293,Talakan,RU,50.32,130.37,5.68,92,99,5.39,overcast clouds
294,Healdsburg,US,38.61,-122.87,45.0,86,1,2.93,clear sky
295,Marathon,US,44.9,-89.77,26.6,58,90,17.22,overcast clouds
296,Boddam,GB,57.47,-1.78,48.2,81,75,21.92,shower rain
297,Los Llanos De Aridane,ES,28.66,-17.92,68.0,56,75,5.82,broken clouds
298,Plymouth,US,41.83,-70.83,39.2,93,1,3.36,clear sky
299,Pangai,TO,-19.8,-174.35,76.44,78,3,8.12,clear sky
300,Port Blair,IN,11.67,92.75,81.9,78,75,17.29,broken clouds
301,Adrar,MR,20.5,-10.07,82.87,16,1,8.23,clear sky
302,Vangaindrano,MG,-23.35,47.6,84.36,65,45,13.96,scattered clouds
303,Tete,MZ,-16.16,33.59,102.2,33,75,11.41,broken clouds
304,Pekan,MY,3.48,103.4,82.4,83,20,2.24,few clouds
305,La Reforma,MX,25.08,-108.05,54.0,95,3,1.3,clear sky
306,Bollnas,SE,61.35,16.39,28.0,96,97,5.64,overcast clouds
307,Camacha,PT,33.08,-16.33,60.8,72,75,9.17,light rain
308,Nuuk,GL,64.18,-51.72,24.8,68,20,12.75,few clouds
309,Isangel,VU,-19.55,169.27,72.27,73,14,7.78,few clouds
310,Uklana Mandi,IN,29.5,75.88,72.01,20,42,3.33,scattered clouds
311,Kot Diji,PK,27.34,68.71,80.6,36,0,2.89,haze
312,Manokwari,ID,-0.87,134.08,81.28,80,97,4.09,overcast clouds
313,Methoni,GR,36.82,21.7,64.0,72,75,4.45,broken clouds
314,Poum,NC,-20.23,164.02,76.75,68,93,10.33,overcast clouds
315,Cap Malheureux,MU,-19.98,57.61,82.0,72,0,11.99,clear sky
316,Fort Nelson,CA,58.81,-122.7,17.6,92,75,4.7,broken clouds
317,Jinchang,CN,38.5,102.17,24.6,85,98,2.53,overcast clouds
318,Belaya Gora,RU,68.53,146.42,-12.3,84,80,8.66,broken clouds
319,Necochea,AR,-38.55,-58.74,57.99,63,0,4.38,clear sky
320,Wattegama,LK,6.8,81.48,86.0,74,75,11.41,broken clouds
321,Mulege,MX,26.88,-111.98,53.11,60,0,5.35,clear sky
