City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
184,Hobyo,SO,82.06,scattered clouds,5.35,48.53,Halane Hotel and Restaurent
185,Faanui,PF,80.28,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Madimba,TZ,86.85,clear sky,-10.4,40.33,
187,Tuy Hoa,VN,76.41,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
189,Entre Rios,BR,83.34,few clouds,-11.94,-38.08,Jambalaya Pousada
192,Mahajanga,MG,89.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
196,Weligama,LK,79.65,moderate rain,5.97,80.42,Weligama Bay Resort
198,Lagoa,PT,61.3,light rain,39.05,-27.98,Casa Das Faias
199,Butaritari,KI,82.72,overcast clouds,3.07,172.79,Isles Sunset Lodge
200,Cabo San Lucas,MX,60.01,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
202,Yanam,IN,84.2,haze,16.73,82.22,The Regency Hotel
204,Abu Samrah,SY,65.8,clear sky,35.3,37.18,
206,Bowen,AU,71.6,clear sky,-20.02,148.23,Castle Motor Lodge Motel
209,Bambous Virieux,MU,82.4,shower rain,-20.34,57.76,Casa Tia Villa
210,Buala,SB,81.1,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
212,Lagos,NG,87.8,broken clouds,6.58,3.75,
214,Hualmay,PE,65.66,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
215,Praia,CV,77.0,broken clouds,14.92,-23.51,LT Aparthotel
216,Kununurra,AU,82.4,light rain,-15.77,128.73,Hotel Kununurra
217,Belmonte,BR,73.4,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
220,Barcelona,ES,61.0,few clouds,41.39,2.16,Axel Hotel Barcelona
221,Sao Miguel Do Araguaia,BR,84.45,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
222,Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
223,Kavieng,PG,79.52,overcast clouds,-2.57,150.8,Nusa Island Retreat
224,San Rafael,AR,66.92,clear sky,-34.62,-68.33,Hotel San Rafael
227,Merida,MX,73.99,scattered clouds,20.97,-89.62,Fiesta Americana Mérida
231,Benguela,AO,84.2,scattered clouds,-12.58,13.41,Hotel Praia Morena
232,Nago,JP,68.0,overcast clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
233,Luganville,VU,78.55,heavy intensity rain,-15.53,167.17,The Espiritu Hotel
237,Mkushi,ZM,89.24,broken clouds,-13.62,29.39,Divine Lodge Mkushi
239,Itarema,BR,85.95,scattered clouds,-2.92,-39.92,Windvillage
242,Asosa,ET,83.1,clear sky,10.07,34.53,Blendana Hotel Assosa
243,Amarpatan,IN,69.75,clear sky,24.32,80.98,कब्रिस्तान
245,Ahuimanu,US,73.4,light rain,21.44,-157.84,Paradise Bay Resort
246,Bilma,NE,87.39,clear sky,18.69,12.92,Expeditions Ténére voyages
248,Kahului,US,71.6,clear sky,20.89,-156.47,Maui Seaside Hotel
250,Ipixuna,BR,80.6,light rain,-1.76,-48.8,Casa da Oscarina
252,Santa Marta,CO,80.01,broken clouds,11.24,-74.2,Hotel La Ballena Azul
253,Alofi,NU,73.4,broken clouds,-19.06,-169.92,Taloa Heights
254,Lorengau,PG,77.58,light rain,-2.02,147.27,Lorengau Harbourside Hotel
255,Linhares,BR,80.85,few clouds,-19.39,-40.07,Hotel Conceição
256,Ambilobe,MG,88.07,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
257,Benghazi,LY,68.16,light rain,32.12,20.07,Tibesti Hotel
259,Mount Gambier,AU,62.6,overcast clouds,-37.83,140.77,Commodore on the Park
266,Porto Novo,BJ,87.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
267,Luwuk,ID,78.91,light rain,-0.95,122.79,Hotel Santika Luwuk
268,Grand Gaube,MU,82.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
270,Harer,ET,75.4,clear sky,9.31,42.13,Amir Cultural Harari Guesthouse
271,Huarmey,PE,65.55,overcast clouds,-10.07,-78.15,Hotel Miramar
282,Rocha,UY,64.26,clear sky,-34.48,-54.33,Beleza Pura B&B
284,Morada Nova,BR,87.82,scattered clouds,-5.11,-38.37,PIZZARIA MARIANA
286,Kruisfontein,ZA,73.99,clear sky,-34.0,24.73,Oyster Bay House Rental
288,Bonthe,SL,86.07,broken clouds,7.53,-12.51,Bonthe Holiday Village
289,Banyo,CM,89.78,scattered clouds,6.75,11.82,Motel JOMBA
291,Soyo,AO,77.0,light rain,-6.13,12.37,Hotel Mpampa
297,Los Llanos De Aridane,ES,68.0,broken clouds,28.66,-17.92,Valle Aridane
299,Pangai,TO,76.44,clear sky,-19.8,-174.35,Ha'apai Beach Resort
300,Port Blair,IN,81.9,broken clouds,11.67,92.75,Fortune Resort Bay Island
301,Adrar,MR,82.87,clear sky,20.5,-10.07,
302,Vangaindrano,MG,84.36,scattered clouds,-23.35,47.6,Hotel Fanilo
304,Pekan,MY,82.4,few clouds,3.48,103.4,Pekan Budget Hotel
307,Camacha,PT,60.8,light rain,33.08,-16.33,Hotel Porto Santo & Spa
309,Isangel,VU,72.27,few clouds,-19.55,169.27,Volcano Sea View Tree House
310,Uklana Mandi,IN,72.01,scattered clouds,29.5,75.88,Pawan Jangra
311,Kot Diji,PK,80.6,haze,27.34,68.71,Babe Zainabia (s.a)
312,Manokwari,ID,81.28,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
313,Methoni,GR,64.0,broken clouds,36.82,21.7,Methoni Beach Hotel
314,Poum,NC,76.75,overcast clouds,-20.23,164.02,Gîte kajeon
315,Cap Malheureux,MU,82.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
320,Wattegama,LK,86.0,broken clouds,6.8,81.48,
322,Makakilo City,US,73.4,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
326,Cassilandia,BR,87.4,broken clouds,-19.11,-51.73,Hotel Rafa Cassilândia
328,Riyadh,SA,62.6,broken clouds,24.69,46.72,InterContinental Riyadh
330,Aviles,ES,62.01,broken clouds,43.55,-5.92,Hotel NH Collection Palacio de Avilés
332,Salalah,OM,82.4,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
334,Fasa,IR,69.8,few clouds,28.94,53.65,Fasa University Boys' Dormitory
335,Mitu,CO,74.52,broken clouds,1.2,-70.17,
337,Port Macquarie,AU,70.0,overcast clouds,-31.43,152.92,Rydges Port Macquarie
340,Agua Dulce,MX,74.57,light rain,18.13,-94.13,Hotel Victoria
341,Fez,MA,62.6,clear sky,34.04,-5.0,Hotel Mounia Fès
343,Saint-Joseph,RE,80.6,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
346,Aitape,PG,79.34,moderate rain,-3.14,142.35,
348,Souillac,MU,82.4,shower rain,-20.52,57.52,Bils' Villa
349,Rampur Hat,IN,72.75,clear sky,24.17,87.78,Amantran Hotel & Resorts
351,Georgetown,MY,84.2,scattered clouds,5.41,100.34,Cititel Penang
352,Itupiranga,BR,78.8,light rain,-5.13,-49.33,JAIRO ORLINDO VIEIRA
355,Uthal,PK,83.37,clear sky,25.81,66.62,Al Madina Hotal
357,Atar,MR,82.71,scattered clouds,20.52,-13.05,Oumou Elghoura
358,Kavaratti,IN,83.28,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
359,Timbo,BR,82.0,overcast clouds,-26.82,-49.27,Timbó Park Hotel
360,Pochutla,MX,70.61,few clouds,15.74,-96.47,Hotel Posada San Jose
362,Faya,SA,68.0,scattered clouds,18.39,42.45,مقبرة ال مجمل
364,Jalu,LY,73.15,clear sky,29.03,21.55,صاحبة الفخامة
365,Cedro,BR,86.56,broken clouds,-6.61,-39.06,Pousada & Conveniência MEDEIROS
368,Cidreira,BR,76.8,scattered clouds,-30.18,-50.21,Hotel Castelo
370,Macau,MO,69.8,clear sky,22.2,113.55,Grand Emperor Hotel
371,Manggar,ID,82.18,overcast clouds,-2.88,108.27,Guest Hotel
373,Vanimo,PG,80.08,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
377,Namatanai,PG,78.82,overcast clouds,-3.67,152.43,Namatanai Hotel
378,Bengkulu,ID,78.57,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
379,Hirara,JP,71.6,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
382,Kirakira,SB,80.11,overcast clouds,-10.45,161.92,SanBiz Lodge
383,Pasuruan,ID,77.76,light rain,-7.65,112.91,Pasuruan Hotel
384,Puerto Asis,CO,71.35,light rain,0.51,-76.5,Ayawaska Hostal
385,Bubaque,GW,79.88,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
387,Vila Do Maio,CV,77.0,broken clouds,15.13,-23.22,Residence 'I Delfini'
391,Ewa Beach,US,73.4,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
392,Tura,IN,64.38,clear sky,25.52,90.22,Hotel RIKMAN Continental
393,Mahina,PF,77.0,light rain,-17.51,-149.49,Guest Beach Bungalow Tahiti
397,Alizai,PK,62.11,scattered clouds,33.54,70.35,Alizai Rest House
400,Soreang,ID,72.66,overcast clouds,-7.03,107.52,Sutan Raja Hotel and Convention Centre
401,Saint-Pierre,RE,80.6,broken clouds,-21.34,55.48,Lindsey Hôtel
402,Rio Grande,BR,69.8,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
408,Barkhan,PK,69.51,broken clouds,29.9,69.53,Sardar
411,Geraldton,AU,64.4,clear sky,-28.77,114.6,Broadwater Mariner Resort
412,Doha,QA,82.4,few clouds,25.29,51.53,Doha Marriott Hotel
413,Namibe,AO,78.8,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
416,Coahuayana,MX,72.81,scattered clouds,18.73,-103.68,Hotel Los Arcos
417,Lukaya,UG,78.8,moderate rain,-0.15,31.87,lemba salongo
418,Faxinal,BR,79.39,broken clouds,-24.0,-51.32,Hotel Pires
419,Dubrajpur,IN,78.8,haze,23.8,87.38,Garai Hotel
420,Loralai,PK,64.33,broken clouds,30.37,68.6,Saddam Hotel & Resturant
422,Hambantota,LK,86.0,light rain,6.12,81.12,Bungalow 63
424,Samarai,PG,82.26,broken clouds,-10.62,150.67,Nuli Sapi
425,Kudahuvadhoo,MV,82.49,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
426,Santa Maria,BR,74.28,overcast clouds,-29.68,-53.81,Hotel Morotin
427,Agadir,MA,69.8,broken clouds,30.42,-9.6,Iberostar Founty Beach
428,Zarand,IR,64.99,few clouds,30.81,56.56,فروشگاه لوازم یدکی پراید و تیبا برادران رجبی
429,Tondano,ID,80.6,moderate rain,1.3,124.91,Villa Bella
430,Marrakesh,MA,60.8,scattered clouds,31.63,-8.01,Les Jardins de La Koutoubia
433,Pangkalanbuun,ID,76.28,light rain,-2.68,111.62,Grand Kecubung Hotel
437,Caravelas,BR,81.99,clear sky,-17.71,-39.25,Pousada dos Navegantes
438,Sumbe,AO,87.8,light rain,-11.21,13.84,Hotel Ritz Sumbe
439,Pizarro,CO,77.25,moderate rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
441,Charters Towers,AU,73.2,broken clouds,-20.1,146.27,Cattleman's Rest Motor Inn
446,Kulhudhuffushi,MV,82.49,light rain,6.62,73.07,Haajy Guest House 1
450,Amapa,BR,78.24,broken clouds,1.0,-52.0,
